Title;;Duration (minutes)
With Car and Camera Around the World;;
With the Abraham Lincoln Brigade in Spain;;
Ball of Fire;;111
Sabrina;;113
Salomé;;72
Samsara: Death and Rebirth in Cambodia;;29
Suspense;;
Sounder;;
The Wedding Banquet;;106
The Wedding March;;113
Blazing Saddles;;93
The Lunch Date;;12
The Lead Shoes;;18
Sweet Sweetback’s Baadasssss Song;;97
Free Radicals;;4
The Bargain;;68
El Norte;;139
7th Heaven;;110
The 7th Voyage of Sinbad;;88
L.A. Confidential;;138
Sex, Lies, and Videotape;;100
Selena;;127
Seven Brides for Seven Brothers;;102
The Middleton Family at the New York World’s Fair;;55
St. Louis Blues;;16
Hearts and Minds;;112
The Tell-Tale Heart;;8
Sergeant York;;134
Grey Gardens;;94
Force of Evil;;79
The Power and the Glory;;76
The Strong Man;;75
The Big Heat;;90
Symbiopsychotaxiplasm: Take One;;75
Punch Drunks;;18
The Blue Bird;;75
Cyrano de Bergerac;;112
The Shining;;146
Ride the High Country;;94
Fame;;134
Hail the Conquering Hero;;101
Goodfellas;;146
Sweet Smell of Success;;96
Broken Blossoms;;90
Employees’ Entrance;;74
The Ox-Bow Incident;;75
Funny Girl;;151
Demolishing and Building Up the Star Theatre;;1
Dog Star Man;;
Dog Day Afternoon;;125
The Making of an American;;13
The Treasure of the Sierra Madre;;126
Salt of the Earth;;94
Dream of a Rarebit Fiend;;7
The Miracle Worker;;106
Preservation of the Sign Language;;14
The Social Network;;
Union Maids;;50
Spartacus;;
Saving Private Ryan;;169
A Corner in Wheat;;14
Schindler’s List;;195
Sleeping Beauty;;
High School;;75
Cooley High;;107
The Old Mill;;9
No Country for Old Men;;122
Old Yeller;;84
Powers of Ten;;9
The Land Beyond the Sunset;;14
Sullivan’s Travels;;91
Naughty Marietta;;105
Zora Lathan Student Films;;
The Clash of the Wolves;;74
Uptown Saturday Night;;104
Superman;;
Super Fly;;
Stark Love;;68
Blacksmith Scene;;1
Think of Me First as a Person;;8
Ringling Brothers Parade Film;;6
The Son of the Sheik;;68
Sons of the Desert;;68
Suzanne, Suzanne;;
Tabu: A Story of the South Seas;;84
Taxi Driver;;114
Annabelle Serpentine Dance;;1
Martha Graham Dance Films;;
Dance, Girl, Dance;;90
Dances with Wolves;;181
Tarantella;;5
Tarzan and His Mate;;104
The Band Wagon;;112
Tevya;;96
Broadcast News;;132
Network;;121
Body and Soul;;104
Thelonious Monk: Straight, No Chaser;;
Thelma & Louise;;
The Negro Soldier;;43
Shadows;;87
Shadow of a Doubt;;108
